,RAB30
Before_1,150.41948529411766
Before_2,166.8591480846198
Before_3,178.4861733490566
Before_4,175.17205882352943
Before_5,209.4370654396728
Before_6,113.69502804691484
Before_7,146.84020922746782
Before_8,232.3417902542373
Before_9,212.339
Before_10,135.00466145833335
Before_11,187.03936980609421
Before_12,221.0548780487805
Before_13,159.54865525672372
Before_14,198.08899700598803
Before_15,199.49719387755104
Before_16,145.1372983870968
Before_17,182.549266194332
Before_18,166.49340469613261
Before_19,150.12173353909466
Before_20,193.557262145749
After_1,119.35976562500001
After_2,119.19410669975187
After_3,113.96026329930146
After_4,138.4043103448276
After_5,144.36189345991562
After_6,133.8410174418605
After_7,149.33764204545454
After_8,83.688163064833
After_9,95.58896484375
After_10,99.16923293852228
After_11,124.93732476635515
After_12,149.36073430493272
After_13,198.0094208211144
After_14,134.58190255220418
After_15,168.57248358862145
After_16,142.8794705882353
After_17,133.8078248031496
After_18,194.9170875054419
After_19,102.55782894736842
After_20,143.25178202479339
Before_mean,176.1841339467746
Before_sd,30.24574329252621
After_mean,134.48906098327168
After_sd,29.057812277102332
